country,region,district,ward,village
Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana
Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba
Mozambique,Zambezia,Mopeia,Campo | Campo sede,Sacuane
Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge
Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze
Mozambique,Zambezia,Mopeia,Campo | Campo sede,Other
Mozambique,Zambezia,Mopeia,Campo | Catale,Catale
Mozambique,Zambezia,Mopeia,Campo | Catale,Other
Mozambique,Zambezia,Mopeia,Campo | Luala,Cadongo
Mozambique,Zambezia,Mopeia,Campo | Luala,Caline
Mozambique,Zambezia,Mopeia,Campo | Luala,Chiurine
Mozambique,Zambezia,Mopeia,Campo | Luala,Lima
Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua
Mozambique,Zambezia,Mopeia,Campo | Luala,Luala
Mozambique,Zambezia,Mopeia,Campo | Luala,Mpiaeca
Mozambique,Zambezia,Mopeia,Campo | Luala,Rimba
Mozambique,Zambezia,Mopeia,Campo | Luala,Simogo
Mozambique,Zambezia,Mopeia,Campo | Luala,Sitone
Mozambique,Zambezia,Mopeia,Campo | Luala,Other
Mozambique,Zambezia,Mopeia,Campo | Mungane,Avalinho
Mozambique,Zambezia,Mopeia,Campo | Mungane,Biringuinho
Mozambique,Zambezia,Mopeia,Campo | Mungane,Chirama
Mozambique,Zambezia,Mopeia,Campo | Mungane,Other
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Mocha
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Other
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Cocorico
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Mefula
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Nhacatundo
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Nhamirere
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Nhanga
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Nzanza
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Veloso
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza,Other
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Ndingo
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Other
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Noere
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Nzero
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Sambalendo
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Other
Tanzania,Pwani,Kibiti DC,Bungu,Bungu A
Tanzania,Pwani,Kibiti DC,Bungu,Bungu B
Tanzania,Pwani,Kibiti DC,Bungu,Mangombela
Tanzania,Pwani,Kibiti DC,Bungu,Msafiri
Tanzania,Pwani,Kibiti DC,Bungu,Nyambili
Tanzania,Pwani,Kibiti DC,Bungu,Nyambunda
Tanzania,Pwani,Kibiti DC,Bungu,Pagae
Tanzania,Pwani,Kibiti DC,Bungu,Other
Tanzania,Pwani,Kibiti DC,Dimani,Bondeni
Tanzania,Pwani,Kibiti DC,Dimani,Dimani
Tanzania,Pwani,Kibiti DC,Dimani,Dimani A
Tanzania,Pwani,Kibiti DC,Dimani,Dimani B
