"list_name","name","label::English","label::Portuguese","label::Swahili","country","region","district","ward","village"
"region","Zambezia","Zambezia","Zambezia","Zambezia","Mozambique","NA","NA","NA","NA"
"region","Pwani","Pwani","Pwani","Pwani","Tanzania","NA","NA","NA","NA"
"district","Mopeia","Mopeia","Mopeia","Mopeia","Mozambique","Zambezia","NA","NA","NA"
"district","Kibiti DC","Kibiti DC","Kibiti DC","Kibiti DC","Tanzania","Pwani","NA","NA","NA"
"district","Rufiji DC","Rufiji DC","Rufiji DC","Rufiji DC","Tanzania","Pwani","NA","NA","NA"
"ward","Mopeia Sede","Mopeia Sede","Mopeia Sede","Mopeia Sede","Mozambique","Zambezia","Mopeia","NA","NA"
"ward","Posto Campo","Posto Campo","Posto Campo","Posto Campo","Mozambique","Zambezia","Mopeia","NA","NA"
"ward","Sambalendo","Sambalendo","Sambalendo","Sambalendo","Mozambique","Zambezia","Mopeia","NA","NA"
"ward","Bungu","Bungu","Bungu","Bungu","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Dimani","Dimani","Dimani","Dimani","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Kibiti","Kibiti","Kibiti","Kibiti","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Kiongoroni","Kiongoroni","Kiongoroni","Kiongoroni","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Mahege","Mahege","Mahege","Mahege","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Maparoni","Maparoni","Maparoni","Maparoni","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Mbuchi","Mbuchi","Mbuchi","Mbuchi","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Mchukwi","Mchukwi","Mchukwi","Mchukwi","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Mjawa","Mjawa","Mjawa","Mjawa","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Mlanzi","Mlanzi","Mlanzi","Mlanzi","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Msala","Msala","Msala","Msala","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Mtawanya","Mtawanya","Mtawanya","Mtawanya","Tanzania","Pwani","Kibiti DC","NA","NA"
